Name,Address,Phone,Website,Membership Status,Legislation
Housing Conservation Coordinators,"777 10th Ave #1, New York, NY 10019",212-541-5996,www.hcc-nyc.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
"Center For Independence of the Disabled, New York","1010 6th Ave, New York, NY 10018",212-674-2300,www.cidny.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Coalition for the Homeless,"129 Fulton St, New York, NY 10038",212-776-2000,www.coalitionforthehomeless.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Community Service Society,"633 3rd Ave 10th floor, New York, NY 10017",212-254-8900,www.cssny.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
LiveOn NY,"49 W 45th St 7th Floor, New York, NY 10036",212-398-6565,www.liveon-ny.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
"NY City Central Labor Council, AFL-CIO","350 W 31st St, New York, NY 10001",212-604-9552,www.nycclc.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
The Bronx Defenders,"360 E 161 St, Bronx, NY 10451",718-838-7878,www.bronxdefenders.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Interfaith Assembly On Homelessness and Housing,"165 W 105th St, New York, NY 10025",212-316-3171,www.iahh.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Brooklyn Defender Services,"177 Livingston St #7, Brooklyn, NY 11201",718-254-0700,www.bds.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Brooklyn Legal Services Corporation A,"260 Broadway # 2, Brooklyn, NY 11211",718-487-2300,www.bka.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
CAMBA,"20 Snyder Ave, Brooklyn, NY 11226",718-940-6311,www.camba.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Neighborhood Defender Service of Harlem,"Parking lot, 317 Lenox Ave, New York, NY 10027",212-876-5500,www.ndsny.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Communities Resist,"312 Broadway 2nd Floor, Brooklyn, NY 11211", 646-974-8761,www.communitiesresist.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Legal Services NYC,"40 Worth St Suite 606, New York, NY 10013",646-442-3575,www.legalservicesnyc.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Safety Net Project of the Urban Justice Center,"40 Rector St Floor 9, New York, NY 10006",646-602-5600,www.urbanjustice.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
TakeRoot Justice,"123 William St 16th floor, New York, NY 10038",212-810-6744,https://takerootjustice.org/,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
The Legal Aid Society,"199 Water St, New York, NY 10038",212-577-3300,www.legalaidnyc.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Mobilization For Justice,"299 Broadway, Brooklyn, NY 10007",212-417-3700,https://mobilizationforjustice.org/,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
New York Legal Assistance Group,"100 Pearl St 19th floor, New York, NY 10004",212-613-5000,www.nylag.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
CASA: Community Action for Safe Apartments,"35 Marcy Pl, Bronx, NY 10452",718-716-8000,www.casapower.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Northwest Bronx Community & Clergy,"103 E 196th St, Bronx, NY 10468",718-584-0515,www.northwestbronx.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Crown Heights Tenant Union,"727 Classon Ave, Brooklyn, NY 11238",212-479-3358,www.crownheightstenantunion.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Housing Organizers for People Empowerment (HOPE) at UHAB,"120 Wall St 20th floor, New York, NY 10005",212-479-3300,www.uhab.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Goddard Riverside Law Project,"51 W 109th St, New York, NY 10025", 212-799-9638,www.goddard.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Northern Manhattan Improvement Corporation,"45 Wadsworth Ave, New York, NY 10033",212-822-8300,www.nmic.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Catholic Migration Services,"47-01 Queens Blvd #203b, Sunnyside, NY 11104",347-472-3500,www.catholicmigration.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Ridgewood Tenants Union,"Ridgewood, Queens, NY",732-835-2344,https://www.ridgewoodtenantsunion.org/,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Young Communist League,"235 W 23rd St, New York, NY 10011",212-741-2016,www.nyycl.org,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
District Council 37 Municipal Employees Legal Services (DC37) - New York,"AFSCME, AFL-CIO, 125 Barclay Street, New York, NY 10007",212-815-1111,https://www.dc37.net/benefits/MELS,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Housing Court Answers,"New York, New York",212-962-4795,https://housingcourtanswers.org/,Coalition Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Westchester Residential Opportunities,"470 Mamaroneck Ave # 410, White Plains, NY 10605",914-428-4507,www.wroinc.org,Endorser,Statewide Right to Counsel
Solidarity Committee of the Capital District,"Albany, New York",,https://www.facebook.com/profile.php?id=100064544210388,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
"The Alternative to Economic and Housing Displacement, Inc.","256 Otange St., Ste 203, Albany, NY 12210",,,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Westchester Jewish Coalition for Immigration,"2005 Palmer Ave #1122, Larchmont, NY 10538",,https://www.wjci.org/,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
JustCause,"1 W Main St #500, Rochester, NY 14614",585-232-3051,www.justcauseny.org,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
For the Many,"302A Mill St Suite F, Poughkeepsie, NY 12601",845-481-0703,www.forthemany.org,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Churches United For Fair Housing,"7 Marcus Garvey Blvd, Brooklyn, NY 11206",718-360-2906,www.cuffh.org,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Met Council on Housing,"339 Lafayette St #301, New York, NY 10012",212-979-0611,https://www.metcouncilonhousing.org/,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
UAW Local 2325 - Association of Legal Aid Attorneys,"1600 50, Broadway, New York, NY 10004",212-343-0708,www.alaa.org,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Asian Americans for Equality (AAFE),"108 Norfolk St, New York, NY 10002",212-979-8381,https://www.aafe.org/,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Neighbors Helping Neighbors,"621 Degraw St, Brooklyn, NY 11217",718-237-2017,www.nhnhome.org,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Astoria Tenants Union,"Astoria, New York",,https://www.instagram.com/astoriatenantunion/?hl=en,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Long Island Housing Services Inc,"640 Johnson Ave, Bohemia, NY 11716",631-567-5111,www.lifairhousing.org,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Long Island Activists,"Long Island, NY",,https://longislandactivists.org/,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Housing Help Inc,"91 Broadway # 10, Greenlawn, NY 11740",631-754-0373,www.housinghelpinc.org,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
JustFix.nyc,"55 Prospect St, Brooklyn, NY 11201",,https://www.justfix.org/,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
"Neighborhood Preservation Coalition of New York State, Inc.","126 State St Suite 302, Albany, NY 12207",518-432-6757,www.npcnys.org,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Hudson Catskill Housing Coalition,"361 Main St, Catskill, NY 12414",518-291-9415,https://www.hudsoncatskillhousing.org/,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
"Rockland Housing Action Coalition, Inc.","475 NY-304 Suite 1, New City, NY 10956",845-708-5799,www.rhachomes.org,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Mt Vernon United Tenants,"2 Gramatan Avenue, Room 312, PO Box 2107, Mt. Vernon, NY",914-699-1114,https://mvut.org/,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Long Island Progressive Coalition,"90 Pennsylvania Ave, Massapequa, NY 11758",516-541-1006,www.lipc.org,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Partners for Dignity and Rights,"One Exchange Plaza, 55 Broadway Ste 309, New York, NY 10002",212-253-1710,https://dignityandrights.org/,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Prevent Child Abuse New York,"1 Steuben Place Suite 120, Albany, NY 12207",800-244-5373,www.preventchildabuseny.org,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Center for Elder Law & Justice,"438 Main St #1200, Buffalo, NY 14202",716-853-3087,www.elderjusticeny.org,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Volunteer Lawyers Project,"438 Main St 7th floor, Buffalo, NY 14202",716-847-0662,www.ecbavlp.com,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
United Tenants of Albany,"255 Orange St, Albany, NY 12210",518-436-8997,www.unitedtenantsalbany.org,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
CAAAV: Organizing Asian Communities,"55 Hester St, New York, NY 10002",212-473-6485,www.caaav.org,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
City-Wide Tenant Union of Rochester,"402 South Ave, Rochester, NY 14620",585-210-0705,www.rochestercitywidetenantunion.org,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Syracuse Tenant Union,"Syracuse, New York",315-308-0130,https://www.syracusetenantsunion.com/about,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Community Resource Center of Larchmont and Mamaroneck (CRC),"134 Center Ave, Mamaroneck, NY 10543",​914-835-1512,https://www.crcny.org/,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
Capital District Democratic Socialists of America,P.O. Box 3821 · Albany NY 12203,,https://capitaldistrictdsa.org/,Campaign Member,"Clean Hands,Statewide Right to Counsel,Defend Right to Counsel,Winter Eviction Moratorium"
